epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,3662.95,0.52019,0.99389,1.16278,0.50581,0.63949,0.6047,0.47707,0.67905,0.99584,1.37553,0.000897313,0.000897313,0.000897313
59,3692.82,0.51847,0.99653,1.15701,0.53824,0.59458,0.64091,0.50028,0.69285,0.94265,1.37619,0.000891125,0.000891125,0.000891125
60,3723.3,0.51998,0.99863,1.15794,0.55692,0.60528,0.61202,0.48172,0.69414,1.00004,1.39291,0.000884938,0.000884938,0.000884938
61,3753.13,0.51952,0.97865,1.15729,0.50204,0.68412,0.63362,0.49063,0.68272,0.97745,1.38446,0.00087875,0.00087875,0.00087875
62,3783.53,0.5182,0.97892,1.16154,0.52177,0.70917,0.65091,0.5155,0.67232,0.91442,1.37865,0.000872563,0.000872563,0.000872563
63,3814.44,0.5254,0.96262,1.16869,0.55266,0.71962,0.64996,0.52026,0.65799,0.91127,1.35685,0.000866375,0.000866375,0.000866375
64,3845.57,0.51231,0.98073,1.15777,0.61447,0.62449,0.65092,0.51668,0.67487,0.94076,1.38903,0.000860188,0.000860188,0.000860188
65,3876.2,0.50962,0.97334,1.15359,0.50328,0.70686,0.64397,0.50797,0.69662,0.97367,1.38004,0.000854,0.000854,0.000854
66,3917.49,0.50738,0.96168,1.15172,0.56174,0.6416,0.65565,0.52499,0.68141,0.91529,1.39866,0.000847813,0.000847813,0.000847813
67,3989.35,0.52109,0.97451,1.1623,0.56059,0.64554,0.65155,0.52335,0.67512,0.93774,1.3746,0.000841625,0.000841625,0.000841625
68,4032.24,0.50878,0.95167,1.1499,0.60435,0.63473,0.65139,0.50938,0.69508,0.9311,1.38604,0.000835438,0.000835438,0.000835438
69,4063.23,0.50406,0.94171,1.14439,0.63118,0.61174,0.65881,0.52478,0.66334,0.92364,1.35773,0.00082925,0.00082925,0.00082925
70,4093.87,0.50722,0.94246,1.14868,0.59495,0.59127,0.66203,0.51467,0.68037,0.89445,1.34833,0.000823063,0.000823063,0.000823063
71,4124.8,0.50606,0.94205,1.14905,0.55961,0.63308,0.63571,0.50284,0.67864,0.93613,1.35777,0.000816875,0.000816875,0.000816875
72,4155.31,0.50004,0.94223,1.13631,0.56568,0.68002,0.65607,0.51621,0.66733,0.90167,1.35806,0.000810688,0.000810688,0.000810688
73,4185.51,0.48891,0.92964,1.13213,0.60426,0.7263,0.68732,0.54922,0.64183,0.85979,1.33738,0.0008045,0.0008045,0.0008045
74,4216.44,0.48497,0.90348,1.13358,0.63338,0.6122,0.66412,0.52428,0.66943,0.91391,1.38115,0.000798313,0.000798313,0.000798313
75,4247.27,0.49513,0.9373,1.13457,0.54468,0.70055,0.65926,0.52629,0.66265,0.91372,1.33086,0.000792125,0.000792125,0.000792125
